"x";"y"
"1";7.4308326;52.323004
"2";7.4307163;52.3256929
"3";6.9833622;51.5437972
"4";6.9880846;51.5608144
"5";7.059235;51.5641267
"6";7.0636225;51.5612807
"7";6.6130639;51.8180288
"8";6.6365888;51.8372218
"9";6.6156966;51.8315249
"10";6.6154536;51.8258443
"11";6.6257261;51.8315356
"12";6.6280964;51.8327119
"13";6.695067;51.8336353
"14";6.659214;51.838276
"15";6.6204661;51.8352599
"16";6.6318521;51.8379006
"17";6.6122148;51.8150444
"18";7.1661282;52.2465776
"19";7.7164652;52.2667515
"20";7.7176771;52.2715618
"21";7.434597;51.6406289
"22";7.4369569;51.6003466
"23";7.6094497;51.9407689
"24";7.6143247;51.9467345
"25";7.6198236;51.9549764
"26";7.6297837;51.9544586
"27";7.6312807;51.9562433
"28";7.6313947;51.9539683
"29";7.6328255;51.9557183
"30";7.6342483;51.9567925
"31";7.6347107;51.9582772
"32";7.629911;51.9563825
"33";7.602931;51.9568103
"34";7.6175928;51.9619003
"35";7.6170574;51.9663889
"36";7.580739;51.9880446
"37";7.6266431;52.1057044
"38";7.6319265;52.093563
"39";7.7196908;52.3684417
"40";7.4185897;51.6234262
"41";7.3926521;51.6050851
"42";7.3938833;51.6116333
"43";7.3928845;51.6198893
"44";7.4005684;51.6222336
"45";7.4081272;51.6230865
"46";7.7475622;52.2847969
"47";7.7249017;52.2891755
"48";7.7189665;52.2768243
"49";6.9905314;51.5203514
"50";8.1445888;51.821036
"51";6.9757565;51.5232017
"52";6.9524999;51.521105
"53";6.9476373;51.5210575
"54";6.930422;51.5225516
"55";6.9300695;51.5234974
"56";6.9231027;51.5368501
"57";6.9003859;51.531355
"58";6.8985876;51.5329915
"59";6.892903;51.5295405
"60";6.9125488;51.516483
"61";6.9148336;51.5153398
"62";6.9191415;51.5134324
"63";6.9350137;51.5089447
"64";6.9351013;51.5054699
"65";6.9355464;51.5037739
"66";7.3105791;51.5824538
"67";7.263021;51.6018215
"68";7.3036972;51.5889055
"69";7.3044075;51.5834389
"70";7.3051428;51.5733956
"71";7.3141439;51.5582443
"72";7.309984;51.5840848
"73";7.3095253;51.5889123
"74";7.3222132;51.5865186
"75";7.2021518;51.5683893
"76";7.2118792;51.5695313
"77";7.0398318;52.1797278
"78";7.0329697;52.2155019
"79";7.0432793;52.179028
"80";7.0592686;51.5640316
"81";7.035088;52.1744678
"82";7.0277545;52.2051706
"83";7.0279736;52.2101411
"84";6.60854;51.8399625
"85";6.6090822;51.8391192
"86";6.6091023;51.8369282
"87";6.6116027;51.835044
"88";6.61572;51.8349588
"89";6.9147848;51.9900738
"90";6.9147716;51.9939415
"91";6.9843911;52.0690881
"92";6.9973462;52.0737662
"93";6.8576877;51.8966664
"94";6.8351792;51.8425713
"95";6.621343;51.8385737
"96";6.6208482;51.8406506
"97";7.0400883;52.1841219
"98";7.0708407;52.2034115
"99";7.0279484;52.2079045
"100";7.0607565;52.2029308
"101";7.0178702;52.2099702
"102";7.0237599;52.215407
"103";7.0149576;52.0825614
"104";6.9975702;52.07861
"105";6.7769819;51.9030108
"106";6.6794497;51.8371302
"107";7.0496534;52.20533
"108";7.0279908;52.2086924
"109";7.1862184;52.2108751
"110";7.1495633;51.5491065
"111";7.1498923;51.5541676
"112";7.1761474;51.5566575
"113";7.1760675;51.5697719
"114";7.2743614;52.1801334
"115";7.2608124;52.1698591
"116";7.0086912;52.0772195
"117";7.1860123;51.5703048
"118";7.1948398;51.5708374
"119";7.1948397;51.5705763
"120";7.1915688;51.5705622
"121";6.9754587;52.0925772
"122";7.0039494;52.0788203
"123";7.0073236;52.0725612
"124";7.0017877;52.0701523
"125";7.0271276;52.073962
"126";7.4305935;52.3216619
"127";7.0637854;52.0504833
"128";7.1634523;51.9548342
"129";7.1506519;51.9424954
"130";7.1547361;51.9367658
"131";7.155956;51.9300243
"132";7.1834171;51.9097794
"133";7.2557316;51.8451815
"134";7.6065329;51.9735075
"135";7.6414638;51.9480341
"136";7.6399878;51.9487187
"137";7.6379931;51.9498967
"138";7.2447041;52.0884708
"139";7.2362238;52.092974
"140";7.6163749;51.7949574
